market,item_name,product_name,brand,price,product_url
covabra,linguica toscana,linguiça toscana sadia 700g,sadia,23.9,https://www.covabra.com.br/linguica-toscana-sadia-700g/p
covabra,linguica toscana,linguiça toscana perdigão alho 600g,perdigão,27.99,https://www.covabra.com.br/linguica-toscana-perdigao-alho-600g/p
covabra,linguica toscana,linguiça toscana perdigão biquinho 600g,perdigão,27.99,https://www.covabra.com.br/linguica-toscana-perdigao-biquinho-600g/p
covabra,ovo,ovos jovanil brancos grandes pvc com 20unidades,jovanil,11.9,https://www.covabra.com.br/ovos-jovanil-brancos-grandes-pvc-com-20unidades/p
covabra,ovo,ovos brancos mantiqueira happy eggs grande pvc caixa com 20un,mantiqueira,22.9,https://www.covabra.com.br/ovos-brancos-mantiqueira-happy-eggs-grande-pvc-caixa-com-20un/p
covabra,ovo,ovos jovanil vermelhos grandes caixa com 12unidades,jovanil,13.9,https://www.covabra.com.br/ovos-jovanil-vermelhos-grandes-caixa-com-12unidades/p
covabra,ovo,ovos brancos mantiqueira grande pvc c/ 20 un,mantiqueira,11.9,https://www.covabra.com.br/ovos-brancos-mantiqueira-grande-pvc-c--20-un/p
covabra,ovo,ovos caipira chácara grandes estojo com 10 unidades,chácara,12.9,https://www.covabra.com.br/ovos-caipira-chacara-grandes-estojo-com-10-unidades/p
covabra,ovo,ovos jovanil branco grande cinta com 60unidades,jovanil,45.9,https://www.covabra.com.br/ovos-jovanil-branco-grande-cinta-com-60unidades/p
covabra,ovo,ovos caipira raiar orgânico grande c/ 20 un,raiar,34.9,https://www.covabra.com.br/ovos-caipira-raiar-organico-grande-c--20-un/p
covabra,ovo,ovos mantiqueira branco grande pvc com 30un,mantiqueira,25.9,https://www.covabra.com.br/ovos-mantiqueira-branco-grande-pvc-com-30un/p
covabra,ovo,ovos caipira raiar orgânico grande c/ 10 un,raiar,16.9,https://www.covabra.com.br/ovos-caipira-raiar-organico-grande-c--10-un/p
covabra,ovo,ovos caipira grande label rouge proteine vermelho com 15un,label rouge,26.9,https://www.covabra.com.br/ovos-caipira-grande-label-rouge-proteine-vermelho-com-15un/p
covabra,macarrao espaguete,macarrão barilla com ovos espaguete n.8 com 500g,barilla,5.89,https://www.covabra.com.br/macarrao-barilla-com-ovos-espaguete-n-8-com-500g/p
covabra,extrato de tomate,extrato tomate elefante só tomate pote 300g,elefante,6.99,https://www.covabra.com.br/extrato-tomate-elefante-so-tomate-pote-300g/p
covabra,extrato de tomate,extrato tomate fugini concentrado sachê 300g,fugini,3.29,https://www.covabra.com.br/extrato-tomate-fugini-concentrado-sache-300g/p
covabra,extrato de tomate,extrato tomate elefante conjunto com 2un 300g,elefante,14.99,https://www.covabra.com.br/extrato-tomate-elefante-conjunto-com-2un-300g/p
covabra,extrato de tomate,extrato tomate elefante tp 135g,elefante,3.99,https://www.covabra.com.br/extrato-tomate-elefante-tp-135g/p
covabra,extrato de tomate,extrato tomate sacciali pote 300g,sacciali,5.89,https://www.covabra.com.br/extrato-tomate-sacciali-pote-300g/p
covabra,extrato de tomate,extrato tomate quero 130 g,quero,2.79,https://www.covabra.com.br/extrato-tomate-quero-130-g/p
covabra,extrato de tomate,extrato tomate elefante pote 300g,elefante,6.99,https://www.covabra.com.br/extrato-tomate-elefante-pote-300g/p
covabra,extrato de tomate,extrato tomate elefante 130g,elefante,3.99,https://www.covabra.com.br/extrato-tomate-elefante-130g/p
covabra,extrato de tomate,extrato tomate elefante cebola e alho pote 300g,elefante,6.99,https://www.covabra.com.br/extrato-tomate-elefante-cebola-e-alho-pote-300g/p
covabra,extrato de tomate,extrato tomate elefante carne de panela pote 300g,elefante,6.99,https://www.covabra.com.br/extrato-tomate-elefante-carne-de-panela-pote-300g/p
